BunruiNo	LemmaID
1.1000,体-関係-事柄-事柄,1.1000-10-02-01	41332
1.1000,体-関係-事柄-事柄,1.1000-10-02-04	22349
1.1000,体-関係-事柄-事柄,1.1000-10-03-02	19080
1.1000,体-関係-事柄-事柄,1.1000-10-04-02	8560
1.1000,体-関係-事柄-事柄,1.1000-10-04-03	8560
1.1000,体-関係-事柄-事柄,1.1000-10-04-04	36906
1.1000,体-関係-事柄-事柄,1.1000-10-05-01	14479
1.1000,体-関係-事柄-事柄,1.1000-11-01-01	62965
1.1000,体-関係-事柄-事柄,1.1000-12-01-01	52895
1.1000,体-関係-事柄-事柄,1.1000-12-01-02	48388
1.1000,体-関係-事柄-事柄,1.1000-12-01-03	167601
1.1000,体-関係-事柄-事柄,1.1000-12-01-04	192828
1.1000,体-関係-事柄-事柄,1.1000-12-01-05	17860
1.1000,体-関係-事柄-事柄,1.1000-13-01-01	32438
1.1010,体-関係-事柄-こそあど・他,1.1010-01-01-01	93993
1.1010,体-関係-事柄-こそあど・他,1.1010-01-01-02	13095
1.1010,体-関係-事柄-こそあど・他,1.1010-01-01-03	12777
1.1010,体-関係-事柄-こそあど・他,1.1010-01-01-05	13100
1.1010,体-関係-事柄-こそあど・他,1.1010-01-01-06	196793
1.1010,体-関係-事柄-こそあど・他,1.1010-02-01-01	20921
1.1010,体-関係-事柄-こそあど・他,1.1010-02-01-02	21461
1.1010,体-関係-事柄-こそあど・他,1.1010-02-01-03	21328
1.1010,体-関係-事柄-こそあど・他,1.1010-02-01-05	196794
1.1010,体-関係-事柄-こそあど・他,1.1010-03-01-01	5581
1.1010,体-関係-事柄-こそあど・他,1.1010-03-01-02	214471
1.1010,体-関係-事柄-こそあど・他,1.1010-03-01-03	1270
1.1010,体-関係-事柄-こそあど・他,1.1010-03-01-04	769
1.1010,体-関係-事柄-こそあど・他,1.1010-03-01-06	47360
1.1010,体-関係-事柄-こそあど・他,1.1010-04-01-01	27373
1.1010,体-関係-事柄-こそあど・他,1.1010-04-01-02	27280
1.1010,体-関係-事柄-こそあど・他,1.1010-04-01-03	27280
1.1010,体-関係-事柄-こそあど・他,1.1010-04-01-04	1945
1.1010,体-関係-事柄-こそあど・他,1.1010-05-01-01	69194
1.1010,体-関係-事柄-こそあど・他,1.1010-06-01-02	27920
1.1010,体-関係-事柄-こそあど・他,1.1010-06-01-03	27920
1.1010,体-関係-事柄-こそあど・他,1.1010-06-02-01	27925
1.1010,体-関係-事柄-こそあど・他,1.1010-06-02-02	27935
1.1010,体-関係-事柄-こそあど・他,1.1010-07-01-01	20810
1.1010,体-関係-事柄-こそあど・他,1.1010-07-01-02	12080
1.1010,体-関係-事柄-こそあど・他,1.1010-07-01-03	22276
1.1010,体-関係-事柄-こそあど・他,1.1010-07-02-01	34378
1.1010,体-関係-事柄-こそあど・他,1.1010-07-02-02	22632
1.1010,体-関係-事柄-こそあど・他,1.1010-08-01-01	27930
1.1010,体-関係-事柄-こそあど・他,1.1010-08-01-03	62347
1.1010,体-関係-事柄-こそあど・他,1.1010-09-01-03	56726
1.1010,体-関係-事柄-こそあど・他,1.1010-09-02-01	3920
1.1010,体-関係-事柄-こそあど・他,1.1010-09-03-01	34183
1.1010,体-関係-事柄-こそあど・他,1.1010-09-03-02	65838
1.1010,体-関係-事柄-こそあど・他,1.1010-09-04-01	34161
1.1010,体-関係-事柄-こそあど・他,1.1010-09-04-02	65788
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-01	17292
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-02	58164
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-03	55962
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-05	57079
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-06	57079
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-07	53853
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-08	10595
1.1030,体-関係-事柄-真偽・是非,1.1030-01-01-09	17197
1.1030,体-関係-事柄-真偽・是非,1.1030-01-02-01	9409
1.1030,体-関係-事柄-真偽・是非,1.1030-01-02-02	63246
1.1030,体-関係-事柄-真偽・是非,1.1030-02-01-01	17234
1.1030,体-関係-事柄-真偽・是非,1.1030-02-01-02	55949
1.1030,体-関係-事柄-真偽・是非,1.1030-02-01-03	17583
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-01	17387
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-02	35597
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-05	17964
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-05	17965
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-06	34947
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-07	34967
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-08	34980
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-10	67731
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-11	67731
1.1030,体-関係-事柄-真偽・是非,1.1030-02-02-13	16847
1.1030,体-関係-事柄-真偽・是非,1.1030-02-03-01	17863
1.1030,体-関係-事柄-真偽・是非,1.1030-02-03-02	11688
1.1030,体-関係-事柄-真偽・是非,1.1030-02-03-05	39876
1.1030,体-関係-事柄-真偽・是非,1.1030-02-03-06	63339
1.1030,体-関係-事柄-真偽・是非,1.1030-02-04-01	27476
1.1030,体-関係-事柄-真偽・是非,1.1030-02-04-02	17937
1.1030,体-関係-事柄-真偽・是非,1.1030-02-04-03	17958
1.1030,体-関係-事柄-真偽・是非,1.1030-02-04-04	57265
1.1030,体-関係-事柄-真偽・是非,1.1030-02-04-06	17257
1.1030,体-関係-事柄-真偽・是非,1.1030-02-05-01	15312
1.1030,体-関係-事柄-真偽・是非,1.1030-02-05-02	17957
1.1030,体-関係-事柄-真偽・是非,1.1030-02-05-03	1201
1.1030,体-関係-事柄-真偽・是非,1.1030-02-05-05	27955
1.1030,体-関係-事柄-真偽・是非,1.1030-02-05-06	56040
1.1030,体-関係-事柄-真偽・是非,1.1030-02-06-01	35373
1.1030,体-関係-事柄-真偽・是非,1.1030-03-01-01	71082
1.1030,体-関係-事柄-真偽・是非,1.1030-03-01-02	98577
1.1030,体-関係-事柄-真偽・是非,1.1030-03-01-03	42486
1.1030,体-関係-事柄-真偽・是非,1.1030-03-01-04	9358
1.1030,体-関係-事柄-真偽・是非,1.1030-04-01-01	48873
1.1030,体-関係-事柄-真偽・是非,1.1030-04-01-02	17415
1.1030,体-関係-事柄-真偽・是非,1.1030-04-03-01	22691
1.1030,体-関係-事柄-真偽・是非,1.1030-05-01-01	32747
1.1030,体-関係-事柄-真偽・是非,1.1030-05-01-03	17524
1.1030,体-関係-事柄-真偽・是非,1.1030-05-01-04	36408
1.1030,体-関係-事柄-真偽・是非,1.1030-05-01-05	71042
1.1030,体-関係-事柄-真偽・是非,1.1030-06-01-01	20749
1.1030,体-関係-事柄-真偽・是非,1.1030-06-01-03	20691
1.1030,体-関係-事柄-真偽・是非,1.1030-06-01-04	31106
1.1030,体-関係-事柄-真偽・是非,1.1030-06-01-05	26041
1.1030,体-関係-事柄-真偽・是非,1.1030-06-02-01	25864
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-01	41840
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-02	19687
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-03	193050
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-04	68898
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-05	58166
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-06	31106
1.1030,体-関係-事柄-真偽・是非,1.1030-07-01-07	32832
1.1030,体-関係-事柄-真偽・是非,1.1030-07-02-01	69664
1.1030,体-関係-事柄-真偽・是非,1.1030-07-02-02	51762
1.1030,体-関係-事柄-真偽・是非,1.1030-07-02-03	56506
1.1030,体-関係-事柄-真偽・是非,1.1030-07-03-01	6987
1.1030,体-関係-事柄-真偽・是非,1.1030-07-03-03	69879
1.1030,体-関係-事柄-真偽・是非,1.1030-07-03-04	26116
1.1030,体-関係-事柄-真偽・是非,1.1030-07-04-01	32512
1.1030,体-関係-事柄-真偽・是非,1.1030-07-04-02	33129
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-01	67695
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-02	12074
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-03	34878
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-04	35907
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-05	57329
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-06	57930
1.1030,体-関係-事柄-真偽・是非,1.1030-08-01-07	40667
1.1030,体-関係-事柄-真偽・是非,1.1030-08-02-01	40112
1.1030,体-関係-事柄-真偽・是非,1.1030-08-02-02	66486
1.1030,体-関係-事柄-真偽・是非,1.1030-08-02-03	65783
1.1030,体-関係-事柄-真偽・是非,1.1030-08-02-04	34062
1.1030,体-関係-事柄-真偽・是非,1.1030-08-02-05	2605
1.1030,体-関係-事柄-真偽・是非,1.1030-09-01-01	59637
1.1030,体-関係-事柄-真偽・是非,1.1030-09-01-02	39272
1.1030,体-関係-事柄-真偽・是非,1.1030-09-02-01	32983
1.1030,体-関係-事柄-真偽・是非,1.1030-10-01-01	21490
1.1040,体-関係-事柄-本体・代理,1.1040-01-01-02	59160
1.1040,体-関係-事柄-本体・代理,1.1040-01-01-03	192824
1.1040,体-関係-事柄-本体・代理,1.1040-02-01-01	21657
1.1040,体-関係-事柄-本体・代理,1.1040-02-01-02	12748
1.1040,体-関係-事柄-本体・代理,1.1040-02-01-03	59534
1.1040,体-関係-事柄-本体・代理,1.1040-02-01-04	196799
1.1040,体-関係-事柄-本体・代理,1.1040-02-02-01	16332
1.1040,体-関係-事柄-本体・代理,1.1040-02-02-03	8870
1.1040,体-関係-事柄-本体・代理,1.1040-02-02-04	8870
1.1040,体-関係-事柄-本体・代理,1.1040-02-02-05	34932
1.1040,体-関係-事柄-本体・代理,1.1040-02-03-01	17909
1.1040,体-関係-事柄-本体・代理,1.1040-02-03-04	17859
1.1040,体-関係-事柄-本体・代理,1.1040-02-04-01	69429
1.1040,体-関係-事柄-本体・代理,1.1040-02-05-01	17906
1.1040,体-関係-事柄-本体・代理,1.1040-02-05-02	17691
1.1040,体-関係-事柄-本体・代理,1.1040-02-05-02	17692
1.1040,体-関係-事柄-本体・代理,1.1040-02-05-03	21645
1.1040,体-関係-事柄-本体・代理,1.1040-02-05-04	34603
1.1040,体-関係-事柄-本体・代理,1.1040-02-06-01	59307
1.1040,体-関係-事柄-本体・代理,1.1040-02-07-01	33322
1.1040,体-関係-事柄-本体・代理,1.1040-02-07-02	27190
1.1040,体-関係-事柄-本体・代理,1.1040-02-08-01	137132
1.1040,体-関係-事柄-本体・代理,1.1040-02-08-02	144066
1.1040,体-関係-事柄-本体・代理,1.1040-02-08-03	21371
1.1040,体-関係-事柄-本体・代理,1.1040-03-01-01	17956
1.1040,体-関係-事柄-本体・代理,1.1040-03-01-02	16753
1.1040,体-関係-事柄-本体・代理,1.1040-03-01-03	3873
1.1040,体-関係-事柄-本体・代理,1.1040-03-02-01	34905
1.1040,体-関係-事柄-本体・代理,1.1040-04-01-01	58467
1.1040,体-関係-事柄-本体・代理,1.1040-04-01-02	18801
1.1040,体-関係-事柄-本体・代理,1.1040-04-01-03	8595
1.1040,体-関係-事柄-本体・代理,1.1040-04-01-04	15939
1.1040,体-関係-事柄-本体・代理,1.1040-04-01-05	35194
1.1040,体-関係-事柄-本体・代理,1.1040-04-01-06	20550
1.1040,体-関係-事柄-本体・代理,1.1040-04-02-02	30548
1.1040,体-関係-事柄-本体・代理,1.1040-05-01-01	19979
1.1040,体-関係-事柄-本体・代理,1.1040-05-01-02	19687
1.1040,体-関係-事柄-本体・代理,1.1040-05-01-03	333647
1.1040,体-関係-事柄-本体・代理,1.1040-06-01-01	34975
1.1040,体-関係-事柄-本体・代理,1.1040-06-01-02	17983
1.1040,体-関係-事柄-本体・代理,1.1040-06-01-03	17964
1.1040,体-関係-事柄-本体・代理,1.1040-06-01-03	17965
1.1040,体-関係-事柄-本体・代理,1.1040-06-02-01	37292
1.1040,体-関係-事柄-本体・代理,1.1040-07-01-01	32650
1.1040,体-関係-事柄-本体・代理,1.1040-07-01-02	30669
1.1040,体-関係-事柄-本体・代理,1.1040-07-01-03	95428
1.1040,体-関係-事柄-本体・代理,1.1040-07-02-01	49388
1.1040,体-関係-事柄-本体・代理,1.1040-07-02-04	50456
1.1040,体-関係-事柄-本体・代理,1.1040-07-02-05	28361
1.1040,体-関係-事柄-本体・代理,1.1040-07-02-06	64558
1.1040,体-関係-事柄-本体・代理,1.1040-07-02-07	28357
1.1040,体-関係-事柄-本体・代理,1.1040-07-02-08	71082
1.1040,体-関係-事柄-本体・代理,1.1040-07-03-01	65837
1.1040,体-関係-事柄-本体・代理,1.1040-07-03-02	7264
1.1040,体-関係-事柄-本体・代理,1.1040-08-01-01	34950
1.1040,体-関係-事柄-本体・代理,1.1040-09-01-01	23090
1.1040,体-関係-事柄-本体・代理,1.1040-09-01-02	67368
1.1040,体-関係-事柄-本体・代理,1.1040-09-01-04	7438
1.1040,体-関係-事柄-本体・代理,1.1040-09-01-05	7438
1.1040,体-関係-事柄-本体・代理,1.1040-09-01-06	23026
1.1040,体-関係-事柄-本体・代理,1.1040-09-01-07	217382
1.1040,体-関係-事柄-本体・代理,1.1040-09-02-01	54616
1.1040,体-関係-事柄-本体・代理,1.1040-09-02-02	66491
1.1040,体-関係-事柄-本体・代理,1.1040-09-02-03	6620
1.1040,体-関係-事柄-本体・代理,1.1040-09-02-04	43552
1.1040,体-関係-事柄-本体・代理,1.1040-09-03-01	6271
1.1040,体-関係-事柄-本体・代理,1.1040-09-03-02	47937
1.1040,体-関係-事柄-本体・代理,1.1040-09-03-03	49841
1.1040,体-関係-事柄-本体・代理,1.1040-10-01-01	31136
1.1040,体-関係-事柄-本体・代理,1.1040-10-01-02	36278
1.1040,体-関係-事柄-本体・代理,1.1040-10-01-03	20821
1.1040,体-関係-事柄-本体・代理,1.1040-10-01-04	51884
1.1040,体-関係-事柄-本体・代理,1.1040-10-02-01	12364
1.1040,体-関係-事柄-本体・代理,1.1040-10-02-02	34687
1.1040,体-関係-事柄-本体・代理,1.1040-10-02-03	34641
1.1040,体-関係-事柄-本体・代理,1.1040-10-02-04	263027
1.1040,体-関係-事柄-本体・代理,1.1040-10-02-04	333648
1.1040,体-関係-事柄-本体・代理,1.1040-10-03-01	41690
1.1040,体-関係-事柄-本体・代理,1.1040-12-01-01	23067
1.1040,体-関係-事柄-本体・代理,1.1040-12-01-02	40555
